geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
blr,Belarus,12801.58919,12578.97839,10541.43503,8826.05046,7367.46544,6753.79054,7014.69265,7137.80156,8481.30211,8639.32541,8963.80326,9176.54262,9697.07261,10727.14599,12087.3856,14702.37327,16695.43995,17992.65153,21232.59106,20490.97525,22221.73258,24686.09291,26046.70424,26163.33658,26891.97111,23523.54564,22024.99971,23360.62369,25078.4564,25848.9581,25825.63534,26597.53983,26562.71165,26814.21793,28145.05634
blz,Belize,9477.41654,10136.62399,10575.9294,10853.38346,10522.36207,10342.89425,10240.50624,10138.33955,10207.66596,10636.3974,11317.47535,11231.16885,11595.06699,11651.36377,11336.33049,11110.42326,10693.18408,11818.01356,10978.9113,9836.38728,10178.5952,10695.86718,10628.1085,11024.3239,11362.04124,11833.90946,11877.79988,11740.87669,11015.38471,11208.10234,9545.96139,11340.36903,11979.46149,11807.98083,12098.05174
bol,Bolivia,5915.08519,5937.38323,5888.0535,5927.49669,6165.50824,6385.91256,6606.69768,6812.20094,7011.72909,6892.19438,6910.04507,6974.87518,7088.82462,7282.22757,7651.97459,7898.0324,8529.45612,8638.37531,9177.49854,8879.04519,9452.23711,9994.02131,10330.97466,10663.36157,10699.93941,10428.26106,10760.81355,11308.93075,11607.01627,11645.85203,10045.55063,10961.65277,11166.33182,11065.9894,10954.72228
bra,Brazil,12257.86092,12209.94519,11995.0708,12297.95578,12621.17614,13249.88832,13370.83455,13568.42746,13339.47845,12912.7097,13243.77212,13146.29026,13559.36488,13622.84564,14366.4976,14609.27363,15117.75475,15888.7665,16494.21646,16377.66876,17528.90457,18319.85739,18433.2615,18976.79311,18737.66645,17748.66286,17033.43665,17253.43111,17286.35886,17307.12836,16808.31437,17511.76481,17886.53094,18463.98734,18865.21822
brb,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17397.31272,,,
brn,Brunei,88223.14884,87306.5136,72155.37151,67910.72369,62975.14301,55740.91546,60450.0043,63456.25468,55571.48134,56549.72611,62929.11392,62586.29279,60572.94719,65552.14716,71851.90397,81965.33518,89844.60012,88185.49379,106355.10961,84656.88947,88696.65627,106493.05473,107449.91893,102459.92073,97870.58971,81577.59762,75059.04655,78865.77468,76807.59321,76665.68006,69689.98553,78749.75165,89081.65993,79542.67379,80624.52969
btn,Bhutan,3239.25219,3083.34894,3225.26294,3340.7076,3660.98833,3839.34621,4055.24146,4339.40265,4222.30575,4351.38314,5312.11753,5594.46658,5995.50318,6300.35381,6489.68725,6887.54527,7128.63777,8082.68446,8285.73366,8740.651,9621.91308,10238.77131,10445.16725,10554.57348,11180.81544,11939.05994,12506.00522,12568.46425,12713.76502,13214.30347,12286.68149,12697.55262,12713.91135,13205.65218,
bwa,Botswana,7507.52319,8055.16408,8116.81683,8552.2329,7440.19094,7995.48688,7820.52356,8578.12807,9780.35691,9239.09925,9054.52687,9389.75283,8754.03854,9861.49959,9643.72664,9452.0306,10575.29224,11679.60388,12644.2157,11819.68615,12655.53323,14475.69517,14465.66313,14675.67433,16311.06055,15075.50571,16379.23746,15526.71536,15466.81203,17521.68091,16765.85798,17996.43425,19332.15949,19060.90543,
caf,Central African Republic,,,,,,,,,,,,,,,,,,,,1339.29056,1390.37922,1354.33958,1385.26885,844.81731,835.55497,878.50492,917.37477,968.23293,1205.98994,1229.36618,1200.16799,1205.55491,1200.59438,1201.84239,1181.88402
can,Canada,36818.76751,35548.81301,35216.45109,35668.61725,36739.19179,37753.97733,38230.46138,39420.32534,39887.1811,41834.34868,44719.53978,44750.48835,45251.12062,46498.89663,48328.98381,50044.94659,51224.4321,52310.83076,53018.78839,49193.46994,50812.63822,52458.17722,52628.14818,53534.65705,54212.1393,52945.76598,52857.24534,54426.64958,54995.77284,55342.77984,51712.85387,56471.26806,58337.13536,56168.47199,55393.57866
